grant_title,id,organization,total_amount,group,Grant start date,start_month,start_day,start_year
Didn't Run,65,Ohio Department of Education,250000,medium,11/19/09,11,19,2009
Didn't Run,66,California Polytechnic State University Foundation,250000,medium,1/8/09,1,8,2009
Didn't Run,67,Tennessee State Collaborative on Reforming Education,250000,medium,2/19/10,2,19,2009
Didn't Run,68,Twenty First Century Foundation,250000,medium,5/1/08,5,1,2009
Didn't Run,69,Alliance for Education,250000,medium,9/17/08,9,17,2009
Didn't Run,70,National Council of La Raza,250000,medium,11/10/09,11,10,2009
Didn't Run,71,American Institutes for Research,250000,medium,12/1/08,12,1,2009
Didn't Run,72,"University System of Georgia Foundation, Inc.",250000,medium,11/11/09,11,11,2009
Didn't Run,73,Common Core Inc.,250000,medium,12/17/09,12,17,2009
Didn't Run,74,National Council for the Social Studies,250000,medium,6/1/08,6,1,2009
Didn't Run,75,Pittsburgh Public Schools,250000,medium,11/13/09,11,13,2009
Didn't Run,76,The NEA Foundation for the Improvement of Education,250000,medium,10/22/09,10,22,2009
Didn't Run,77,"L.U.L.A.C. Institute, Inc.",250000,medium,3/1/08,3,1,2009
Didn't Run,78,"University of California, Los Angeles",250000,medium,3/1/08,3,1,2009
Didn't Run,79,"Leadership Conference on Civil Rights Education Fund, Inc.",250000,medium,10/26/09,10,26,2009
Didn't Run,80,Florida Department of Education,250000,medium,10/30/09,10,30,2009
Didn't Run,81,Thomas B. Fordham Institute,250000,medium,6/15/09,6,15,2009
Didn't Run,82,Council of State Governments,250000,medium,3/18/10,3,18,2009
Didn't Run,83,Mexican American Legal Defense and Educational Fund,250000,medium,8/28/09,8,28,2009
Didn't Run,84,"L.U.L.A.C. Institute, Inc.",250000,medium,9/21/09,9,21,2009
Didn't Run,85,National Summer Learning Association,250000,medium,11/1/09,11,1,2009
Didn't Run,86,"Teachers College, Columbia University",250000,medium,9/29/09,9,29,2009
Didn't Run,87,Communities Foundation of Texas,250000,medium,10/15/09,10,15,2009
Didn't Run,88,Business Higher Education Forum,250000,medium,11/4/09,11,4,2009
Didn't Run,89,National Staff Development Council,250000,medium,11/1/08,11,1,2009
Didn't Run,90,Southeast Asia Resource Action Center,250000,medium,8/28/09,8,28,2009
Didn't Run,91,Roads to Success Inc.,250000,medium,10/26/09,10,26,2009
Didn't Run,92,MCNC,250000,medium,3/6/09,3,6,2009
Went for a Run,93,Regents of the University of California at Berkeley,437807,high,10/22/08,10,22,2009
Went for a Run,94,National Association of State Boards of Education,450675,high,10/26/09,10,26,2009
Went for a Run,95,Pollinate Ventures,451125,high,11/8/09,11,8,2009
Went for a Run,96,Fund for Public Schools Inc.,455394,high,11/13/09,11,13,2009
Went for a Run,97,KIPP Foundation,5000000,high,11/5/09,11,5,2009
Went for a Run,98,Mathematica Policy Research,470507,high,7/16/09,7,16,2009
Went for a Run,99,MCNC,475000,high,5/1/08,5,1,2009
Went for a Run,100,Guaranteach,475077,high,3/18/10,3,18,2009
Went for a Run,101,"Strive: Cincinnati/Northern Kentucky, LLC",490021,high,7/1/08,7,1,2009
Went for a Run,102,New Teacher Center,494933,high,10/13/09,10,13,2009
Went for a Run,103,New Technology Foundation,496776,high,9/1/08,9,1,2009
Went for a Run,104,"University of California, Los Angeles",498724,high,12/1/08,12,1,2009
Went for a Run,105,National Conference of State Legislatures,499225,high,5/1/08,5,1,2009
Went for a Run,106,Gateway to College National Network,499398,high,9/1/08,9,1,2009
Went for a Run,107,Ohio Business Alliance for Higher Education and the Economy,500000,high,11/1/08,11,1,2009
Went for a Run,108,Social Science Research Council,3065500,high,11/5/09,11,5,2009
Went for a Run,109,National Alliance For Public Charter Schools,500000,high,10/30/09,10,30,2009
Went for a Run,110,Nellie Mae Education Foundation,500000,high,1/1/09,1,1,2009
Went for a Run,111,Seattle Biomedical Research Institute,500000,high,9/1/08,9,1,2009
Went for a Run,112,"Teach for America, Inc.",500422,high,10/1/09,10,1,2009
Went for a Run,113,"Fund for the City of New York, Inc.",513219,high,5/1/08,5,1,2009
Went for a Run,114,National Indian Education Association,520446,high,8/31/09,8,31,2009
Went for a Run,115,Center on Education Policy,544700,high,7/1/08,7,1,2009
Smoking,116,Texas Valley Communities Foundation,400000,low,5/1/08,5,1,2009
Smoking,117,President and Fellows of Harvard College,400000,low,8/1/08,8,1,2009
Smoking,118,"Alliance for Excellent Education, Inc.",400000,low,11/4/09,11,4,2009
Smoking,119,Regents University Of California Los Angeles,400000,low,5/11/09,5,11,2009
Smoking,120,Innosight Institute Inc,400000,low,7/1/08,7,1,2009
Smoking,121,Committee for Economic Development,400000,low,5/5/09,5,5,2009
Smoking,122,Prichard Committee for Academic Excellence,400000,low,11/16/09,11,16,2009
Smoking,123,National Association of State Boards of Education,400000,low,5/1/08,5,1,2009
Smoking,124,National Center For Educational Achievement,400000,low,9/1/08,9,1,2009
Smoking,125,National Council of La Raza,400000,low,3/1/08,3,1,2009
Smoking,126,Partnership for Learning,400000,low,3/11/09,3,11,2009
Smoking,127,Hope Street Group,400000,low,11/7/09,11,7,2009
Smoking,128,Institute for a Competitive Workforce,400000,low,11/11/09,11,11,2009
Smoking,129,Educational Policy Improvement Center,400000,low,5/5/09,5,5,2009
Smoking,130,Target Area Development Corporation,400000,low,7/1/08,7,1,2009
Smoking,131,National Association of Street Schools,400000,low,5/1/08,5,1,2009
Smoking,132,Tides Center,400000,low,11/10/09,11,10,2009
Smoking,133,The Schott Foundation For Public Education,400000,low,7/1/08,7,1,2009
Smoking,134,National School Boards Foundation,400000,low,4/25/09,4,25,2009
Smoking,135,National Student Clearinghouse,400000,low,11/1/08,11,1,2009
"Education Equity Agenda: Federal and Regional Advocacy Policy Support for College Ready Work, Transparent Education Data System Alignment, Effective & Empowered Teachers and Innovation.",136,National Urban League Inc.,800000,medium,10/26/09,10,26,2009
WA State Board of Education Phase II: A Meaningful High School Diploma and A State Accountability Education System,137,The Washington State Board of Education,850000,medium,3/1/08,3,1,2009
Measures of Effective Teaching Research Site,138,Denver Public Schools,7000000,medium,11/13/09,11,13,2009
STEM Capacity Building,139,Business Higher Education Forum,910000,medium,7/1/08,7,1,2009
"Education Equity Agenda: Federal and Regional Advocacy Policy Support for College Ready Work, Transparent Education Data System Alignment, Effective & Empowered Teachers and Innovation.",140,National Council of La Raza,930223,medium,11/10/09,11,10,2009
DC Achiever Restructuring Partner,141,Friendship Public Charter School,937088,medium,11/3/09,11,3,2009
PRI Guaranty To Unlock Facilities Financing for High Quality Charter Schools,142,Local Initiatives Support Corporation,950000,medium,8/27/09,8,27,2009
Common Standards Review and Task Development,143,Thomas B. Fordham Institute,959116,medium,10/10/09,10,10,2009
Intermediary management of PRI/Credit Enhancement Program - Los Angeles (Aspire),144,NCB Capital Impact,959373,medium,4/8/10,4,8,2009
Sustainability for Recovery School District,145,Baton Rouge Area Foundation,993219,medium,11/3/09,11,3,2009
Research Design for Project-Based Advanced Placement Courses,146,University of Washington,996185,medium,11/18/09,11,18,2009
Accelerate and Enhance Teacher Effectiveness Methods In Districts/Networks,147,Achievement First Inc.,998221,medium,10/9/09,10,9,2009
AFT Innovation Fund,148,American Federation Of Teachers Educational Foundation,1000000,medium,1/1/09,1,1,2009
"Applying an R&D model to education to unearth root causes of performance gaps, to effectively vet options for reform.",149,President and Fellows of Harvard College,1000000,medium,11/12/09,11,12,2009
For the Future,150,Team Pennsylvania Foundation,1000000,medium,11/1/08,11,1,2009
General Support Supplemental,151,The Education Trust,1000000,medium,1/21/10,1,21,2009
Ohio College and Career Ready Consortium,152,Ohio Grantmakers Forum,1000000,medium,7/18/09,7,18,2009
Strategic Management of Human Capital in Public Ed,153,University of Wisconsin,1000000,medium,3/1/08,3,1,2009
to support Teach for America (TFA) with the goal of bringing low income and minority students in TFA classrooms to proficiency,154,"Teach for America, Inc.",1000000,medium,6/26/09,6,26,2009
Los Angeles Collaborative to Improve College and Career Readiness in LAUSD Schools,155,United Way Inc.,1000330,high,1/15/09,1,15,2009
PEN business planning,156,Public Education Network,1001363,high,7/10/09,7,10,2009
Accelerate and Enhance Teacher Effectiveness Methods In Districts/Networks,157,Recovery School District,1004719,high,10/22/09,10,22,2009
Went for a Run,158,Center on Education Policy,1047928,high,9/8/09,9,8,2009
Went for a Run,159,College Success Foundation,1053150,high,11/1/08,11,1,2009
Went for a Run,160,Houston Independent School District,1100000,high,11/5/09,11,5,2009
Went for a Run,161,Ohio Department of Education,1175000,high,1/1/08,1,1,2009
Went for a Run,162,Seattle Foundation,1181375,high,3/1/08,3,1,2009
Went for a Run,163,Center for American Progress,1198248,high,7/1/08,7,1,2009
Went for a Run,164,EdVisions Inc,1200552,high,12/1/08,12,1,2009
Went for a Run,165,College for All Texans Foundation: Closing the Gaps,1221800,high,11/1/08,11,1,2009
Went for a Run,166,"Education Development Center, Inc.",1224953,high,11/18/09,11,18,2009
Went for a Run,167,Fund for Educational Excellence,1229730,high,5/1/08,5,1,2009
Went for a Run,168,University of Texas at Austin,1235787,high,11/18/09,11,18,2009
Went for a Run,169,"Rockefeller Philanthropy Advisors, Inc.",1279229,high,9/1/08,9,1,2009
support the K-12 backmapping of the standards,170,Council of Chief State School Officers,1291738,high,10/12/09,10,12,2009
Building College-Ready Culture in Our High Schools,171,College Summit Inc.,1300000,high,5/1/08,5,1,2009
Measures of Effective Teaching Research Site,172,Dallas Independent School District,1332279,high,1/4/10,1,4,2009
Technical Assistance for Standards/Assessment Partners,173,National Center for the Improvement of Educational Assessment Inc.,1362773,high,11/19/09,11,19,2009
Making NSC Data Actionable for School Leaders,174,College Summit Inc,1383137,high,5/22/09,5,22,2009
Charlotte-Mecklenburg Measures of Teacher Effectiveness Research,175,Charlotte-Mecklenburg Schools,1431534,high,9/3/09,9,3,2009
College Ready Course Sequence Implementation,176,"ACT, Inc.",1445269,high,9/14/09,9,14,2009
Partnership for Learning Statewide Advocacy + Stimulus RTT TA,177,Partnership for Learning,1493522,high,11/1/09,11,1,2009
Accelerated Partnership to Empower Effective Teachers,178,Tulsa Public Schools,1500000,high,2/4/10,2,4,2009
LEV Statewide Advocacy Expansion,179,League of Education Voters Foundation,1500000,high,10/29/09,10,29,2009
NCEE state partnerships,180,National Center on Education & the Economy,1500000,high,10/19/09,10,19,2008
Development of frameworks for the assessment of teacher knowledge,181,Educational Testing Service,1521971,high,11/14/09,11,14,2008
Organizing for High School Reform,182,Pacific Institute For Community Organizations,1600000,high,9/1/08,9,1,2008
Expansion of Urban Teacher Residency (UTRU),183,The Urban Teacher Residency Institute,1635665,high,9/1/09,9,1,2008
Advance Illinois organization build,184,Advance Illinois,1800000,high,5/15/08,5,15,2008
Validation of the Teaching as Leadership Rubric,185,"Teach for America, Inc.",1840548,high,10/5/09,10,5,2008
CMO Research Study Project Management,186,New Schools Fund dba NewSchools Venture Fund,1891265,high,5/1/08,5,1,2008
6to16,187,University of Chicago - Urban Education Institute,1894228,high,3/1/08,3,1,2008
Education Equity Agenda: Support for Campaign for High School Equity coordination of national civil rights organization national policy advocacy of College Ready and Postsecondary Strategies,188,"Rockefeller Philanthropy Advisors, Inc.",1915298,high,10/19/09,10,19,2008
Strengthening State College Readiness Initiatives,189,Board Of Control For Southern Regional Education,1987015,high,3/1/08,3,1,2008
Intensive Partnership Site - Participation in MET Research Study,190,Memphis City Schools,1988654,high,11/3/09,11,3,2008
New-Media Capacity Building at EPE,191,Editorial Projects in Education,1997280,high,5/1/09,5,1,2008
Implementation: National PTA support for college-readiness,192,National Congress of Parents and Teachers,2000000,high,11/3/09,11,3,2008
The Public Education Reform and Community Development Link: A Sustainable Solution,193,Deutsche Bank Americas Foundation,2000000,high,11/1/08,11,1,2008
Project GRAD USA's National College Readiness Initiative,194,Project GRAD,2025892,high,9/1/08,9,1,2008
Literacy by Design,195,The Trust For Early Education Inc,2039526,high,9/17/09,9,17,2008
THSP Alliance Business Planning,196,Communities Foundation of Texas,2046674,high,9/1/08,9,1,2008
Teacher-Student Data Link Project,197,CELT Corporation,2200000,high,11/19/09,11,19,2008
Dropout Prevention,198,Americas Promise-The Alliance For Youth,2211517,high,3/19/08,3,19,2008
Hunt Institute Common State Education Standards Project,199,"The James B. Hunt, Jr. Institute for Educational Leadership and Policy",2213470,high,5/1/08,5,1,2008
Business Planning for Education grantees,200,The Bridgespan Group,2237530,high,4/20/09,4,20,2008
Develop Tools for Teachers/Districts to Monitor Student Progress,201,Math Solutions,2274957,high,11/20/09,11,20,2008
IB Middle Years Summative Assessment,202,IB Fund US Inc.,2423679,high,8/22/09,8,22,2008
To Help Governors Improve College and Career Ready Rates,203,National Governors Association Center For Best Practices,2496814,high,5/1/08,5,1,2008
Next Generation PD System,204,DC Public Education Fund,2500000,high,11/12/09,11,12,2008
Accelerated Partnership to Empower Effective Teachers,205,Prince George's County Public Schools,2500169,high,1/4/10,1,4,2008
Intensive Partnership Site - Participation in MET Research Study,206,Hillsborough County Public Schools,2502146,high,10/20/09,10,20,2008
Scaling NCTQ state and district work,207,National Council on Teacher Quality,2565641,high,10/21/09,10,21,2008
NAPCS Industry Development,208,National Alliance For Public Charter Schools,2605527,high,9/1/08,9,1,2008
Increasing Business Engagement,209,Institute for a Competitive Workforce,2625837,high,10/8/08,10,8,2008
Building Support for Federal High School Policy Reform,210,"Alliance for Excellent Education, Inc.",2644892,high,9/1/08,9,1,2008
NYC DOE Measures of Teacher Effectiveness Research,211,Fund for Public Schools Inc.,2646876,high,8/28/09,8,28,2008
Aspire Public Schools' Early College High School Capacity Project,212,Aspire Public Schools,2899727,high,9/1/08,9,1,2008
Big 8 Superintendents Data Assessment,213,Communities Foundation of Texas,2901632,high,11/1/08,11,1,2008
National Impact Initiative,214,National Association Of Charter School Authorizers,2979186,high,10/1/08,10,1,2008
Development and Adaptation of Science and Literacy Formative Assessment Tasks,215,Regents Of The University Of California At Berkeley,2999730,high,11/20/09,11,20,2008
Research Alliance for New York City Schools,216,New York University,2999960,high,10/1/08,10,1,2008
CCSR General Operating Support,217,University of Chicago (Parent Org),3000000,high,5/1/08,5,1,2008
Deepening and Expanding the Impact of Diploma Plus,218,"Third Sector New England, Inc.",3179363,high,9/1/08,9,1,2008
To provide support to states on RTTT applications,219,New Venture Fund,3240000,high,11/4/09,11,4,2008
Alternative High School Initiative,220,The Big Picture Company,3315216,high,7/15/09,7,15,2008
Support for Teaching First to ensure that there is public support for district efforts to improve teacher effectiveness,221,"Rockefeller Philanthropy Advisors, Inc.",3487270,high,9/25/09,9,25,2008
IDEA Public Schools Expansion,222,Idea Academy Inc,3498875,high,11/1/08,11,1,2008
Title,223,College Summit Inc,3500000,high,5/1/08,5,1,2008
College Ready Mathematics Formative Assessments,224,Regents Of The University Of California At Berkeley,3661294,high,9/25/09,9,25,2008
Using Standards and Data to Improve Urban School Systems,225,Council Of The Great City Schools,3735866,high,10/1/08,10,1,2008
College Readiness Data Initiative,226,Dallas Independent School District,3774912,high,12/1/08,12,1,2008
Project support for expanding Aspen network,227,The Aspen Institute,3878680,high,11/18/09,11,18,2008
Aligned Instructional Systems,228,New Schools Fund dba NewSchools Venture Fund,3999127,high,5/1/08,5,1,2008
DC Schools Fund,229,New Schools Fund dba NewSchools Venture Fund,4000000,high,7/1/08,7,1,2008
Newark School Fund,230,"Newark Charter School Fund, Inc.",4000000,high,2/15/08,2,15,2008
SeaChange Capacity and Catalyst Funding,231,"SeaChange Capital Partners, Inc.",4000000,high,12/1/08,12,1,2008
College and Career Ready Graduation Initiative,232,United Way of America,4001263,high,1/1/09,1,1,2008
Elevating An Alternative Teacher Voice,233,"Teach Plus, Incorporated",4010611,high,9/30/09,9,30,2008
Big Picture School Initiative,234,The Big Picture Company,4079157,high,7/1/08,7,1,2008
Matching Grant for Classroom Projects in Public High Schools,235,DonorsChoose.org,4114700,high,11/1/08,11,1,2008
"Formative Assessment Data Collection, Task Analysis and Implementation (UCLA/CRESST)",236,Regents University Of California Los Angeles,4342988,high,11/12/09,11,12,2008
State and National Common Core Standards Adoption/Implementation Advocacy Support,237,"James B. Hunt, Jr. Institute for Educational Leadership and Policy Foundation, Inc.",4368176,high,11/5/09,11,5,2008
Ohio High School Value-Added Project,238,Battelle For Kids,4989262,high,10/1/08,10,1,2008
Creating a National Movement for Improved K-12 Education,239,"GreatSchools, Inc.",6000000,high,7/1/08,7,1,2008
Smart Scholars: Early College High Schools in New York State,240,The University of the State of New York,6000000,high,7/29/09,7,29,2008
Phase II - to support the expansion of second generation student tracker for high schools,241,National Student Clearinghouse Research Center,6094497,high,11/20/09,11,20,2008
Support for Seattle Public Schools' Strategic Plan,242,Alliance for Education,6929430,high,11/10/08,11,10,2008
Reforming the Widget Effect: Increasing teacher effectiveness in America's schools,243,"The New Teacher Project, Inc.",7000000,high,7/10/09,7,10,2008
Understanding Teacher Quality,244,Educational Testing Service,7348925,high,11/1/08,11,1,2008
Equity and Excellence in a Global Era: Expanding the International Studies Schools Network,245,Asia Society,7750417,high,11/1/08,11,1,2008
Increase the leadership capacity of chiefs,246,Council of Chief State School Officers,7770104,high,7/1/09,7,1,2008
Strong American Schools,247,"Rockefeller Philanthropy Advisors, Inc.",9958245,high,3/1/08,3,1,2008
Accelerated Partnership to Empower Effective Teachers,248,Denver Public Schools,7770104,high,1/4/10,1,4,2008
Accelerated Partnership to Empower Effective Teachers,249,Atlanta Public Schools,7770104,high,1/13/10,1,13,2008
American Diploma Project Network,250,Achieve Inc.,7770104,high,2/1/08,2,1,2008
Strategic Data Project,251,President and Fellows of Harvard College,7770104,high,6/17/09,6,17,2008
Intensive Partnerships to Empower Effective Teachers,252,Pittsburgh Public Schools,7770104,high,11/18/09,11,18,2008
Intensive Partnerships to Empower Effective Teachers (LA-CMO's),253,The College-Ready Promise,7770104,high,11/19/09,11,19,2008
Intensive Partnerships to Empower Effective Teachers,254,Memphis City Schools,7770104,high,11/19/09,11,19,2008
Intensive Partnerships to Empower Effective Teachers,255,Hillsborough County Public Schools,100000000,high,11/19/09,11,19,2008
