grant_title,id,organization,total_amount,group,Grant start date,start_month,start_day,start_year
Didn't Run,65,Ohio Department of Education,250000,medium,11/19/09,11,19,2009
Didn't Run,66,California Polytechnic State University Foundation,250000,medium,1/8/09,1,8,2009
Didn't Run,67,Tennessee State Collaborative on Reforming Education,250000,medium,2/19/10,2,19,2009
Didn't Run,68,Twenty First Century Foundation,250000,medium,5/1/08,5,1,2009
Didn't Run,69,Alliance for Education,250000,medium,9/17/08,9,17,2009
Didn't Run,70,National Council of La Raza,250000,medium,11/10/09,11,10,2009
Didn't Run,71,American Institutes for Research,250000,medium,12/1/08,12,1,2009
Didn't Run,72,"University System of Georgia Foundation, Inc.",250000,medium,11/11/09,11,11,2009
Didn't Run,73,Common Core Inc.,250000,medium,12/17/09,12,17,2009
Didn't Run,74,National Council for the Social Studies,250000,medium,6/1/08,6,1,2009
Didn't Run,75,Pittsburgh Public Schools,250000,medium,11/13/09,11,13,2009
Didn't Run,76,The NEA Foundation for the Improvement of Education,250000,medium,10/22/09,10,22,2009
Didn't Run,77,"L.U.L.A.C. Institute, Inc.",250000,medium,3/1/08,3,1,2009
Didn't Run,78,"University of California, Los Angeles",250000,medium,3/1/08,3,1,2009
Didn't Run,79,"Leadership Conference on Civil Rights Education Fund, Inc.",250000,medium,10/26/09,10,26,2009
Didn't Run,80,Florida Department of Education,250000,medium,10/30/09,10,30,2009
Didn't Run,81,Thomas B. Fordham Institute,250000,medium,6/15/09,6,15,2009
Didn't Run,82,Council of State Governments,250000,medium,3/18/10,3,18,2009
Didn't Run,83,Mexican American Legal Defense and Educational Fund,250000,medium,8/28/09,8,28,2009
Didn't Run,84,"L.U.L.A.C. Institute, Inc.",250000,medium,9/21/09,9,21,2009
Didn't Run,85,National Summer Learning Association,250000,medium,11/1/09,11,1,2009
Didn't Run,86,"Teachers College, Columbia University",250000,medium,9/29/09,9,29,2009
Didn't Run,87,Communities Foundation of Texas,250000,medium,10/15/09,10,15,2009
Didn't Run,88,Business Higher Education Forum,250000,medium,11/4/09,11,4,2009
Didn't Run,89,National Staff Development Council,250000,medium,11/1/08,11,1,2009
Didn't Run,90,Southeast Asia Resource Action Center,250000,medium,8/28/09,8,28,2009
Didn't Run,91,Roads to Success Inc.,250000,medium,10/26/09,10,26,2009
Didn't Run,92,MCNC,250000,medium,3/6/09,3,6,2009
Went for a Run,93,Regents of the University of California at Berkeley,437807,high,10/22/08,10,22,2009
Went for a Run,94,National Association of State Boards of Education,450675,high,10/26/09,10,26,2009
Went for a Run,95,Pollinate Ventures,451125,high,11/8/09,11,8,2009
Went for a Run,96,Fund for Public Schools Inc.,455394,high,11/13/09,11,13,2009
Went for a Run,97,KIPP Foundation,5000000,high,11/5/09,11,5,2009
Went for a Run,98,Mathematica Policy Research,470507,high,7/16/09,7,16,2009
Went for a Run,99,MCNC,475000,high,5/1/08,5,1,2009
Went for a Run,100,Guaranteach,475077,high,3/18/10,3,18,2009
Went for a Run,101,"Strive: Cincinnati/Northern Kentucky, LLC",490021,high,7/1/08,7,1,2009
Went for a Run,102,New Teacher Center,494933,high,10/13/09,10,13,2009
Went for a Run,103,New Technology Foundation,496776,high,9/1/08,9,1,2009
Went for a Run,104,"University of California, Los Angeles",498724,high,12/1/08,12,1,2009
Went for a Run,105,National Conference of State Legislatures,499225,high,5/1/08,5,1,2009
Went for a Run,106,Gateway to College National Network,499398,high,9/1/08,9,1,2009
Went for a Run,107,Ohio Business Alliance for Higher Education and the Economy,500000,high,11/1/08,11,1,2009
Went for a Run,108,Social Science Research Council,3065500,high,11/5/09,11,5,2009
Went for a Run,109,National Alliance For Public Charter Schools,500000,high,10/30/09,10,30,2009
Went for a Run,110,Nellie Mae Education Foundation,500000,high,1/1/09,1,1,2009
Went for a Run,111,Seattle Biomedical Research Institute,500000,high,9/1/08,9,1,2009
Went for a Run,112,"Teach for America, Inc.",500422,high,10/1/09,10,1,2009
Went for a Run,113,"Fund for the City of New York, Inc.",513219,high,5/1/08,5,1,2009
Went for a Run,114,National Indian Education Association,520446,high,8/31/09,8,31,2009
Went for a Run,115,Center on Education Policy,544700,high,7/1/08,7,1,2009
Smoking,116,Texas Valley Communities Foundation,400000,low,5/1/08,5,1,2009
Smoking,117,President and Fellows of Harvard College,400000,low,8/1/08,8,1,2009
Smoking,118,"Alliance for Excellent Education, Inc.",400000,low,11/4/09,11,4,2009
Smoking,119,Regents University Of California Los Angeles,400000,low,5/11/09,5,11,2009
Smoking,120,Innosight Institute Inc,400000,low,7/1/08,7,1,2009
Smoking,121,Committee for Economic Development,400000,low,5/5/09,5,5,2009
Smoking,122,Prichard Committee for Academic Excellence,400000,low,11/16/09,11,16,2009
Smoking,123,National Association of State Boards of Education,400000,low,5/1/08,5,1,2009
Smoking,124,National Center For Educational Achievement,400000,low,9/1/08,9,1,2009
Smoking,125,National Council of La Raza,400000,low,3/1/08,3,1,2009
Smoking,126,Partnership for Learning,400000,low,3/11/09,3,11,2009
Smoking,127,Hope Street Group,400000,low,11/7/09,11,7,2009
Smoking,128,Institute for a Competitive Workforce,400000,low,11/11/09,11,11,2009
Smoking,129,Educational Policy Improvement Center,400000,low,5/5/09,5,5,2009
Smoking,130,Target Area Development Corporation,400000,low,7/1/08,7,1,2009
Smoking,131,National Association of Street Schools,400000,low,5/1/08,5,1,2009
Smoking,132,Tides Center,400000,low,11/10/09,11,10,2009
Smoking,133,The Schott Foundation For Public Education,400000,low,7/1/08,7,1,2009
Smoking,134,National School Boards Foundation,400000,low,4/25/09,4,25,2009
Smoking,135,National Student Clearinghouse,400000,low,11/1/08,11,1,2009
Flu,136,National Urban League Inc.,800000,low,10/26/09,10,26,2009
Flu,137,The Washington State Board of Education,800000,low,3/1/08,3,1,2009
Flu,138,Denver Public Schools,800000,low,11/13/09,11,13,2009
Junk Food,139,Business Higher Education Forum,910000,low,7/1/08,7,1,2009
Junk Food,140,National Council of La Raza,930223,low,11/10/09,11,10,2009
Junk Food,141,Friendship Public Charter School,937088,low,11/3/09,11,3,2009
Junk Food,142,Local Initiatives Support Corporation,950000,low,8/27/09,8,27,2009
Junk Food,143,Thomas B. Fordham Institute,959116,low,10/10/09,10,10,2009
Junk Food,144,NCB Capital Impact,959373,low,4/8/10,4,8,2009
Junk Food,145,Baton Rouge Area Foundation,993219,low,11/3/09,11,3,2009
Healthy Day of Eating,146,University of Washington,996185,high,11/18/09,11,18,2009
Healthy Day of Eating,147,Achievement First Inc.,998221,high,10/9/09,10,9,2009
Healthy Day of Eating,148,American Federation Of Teachers Educational Foundation,1000000,high,1/1/09,1,1,2009
Healthy Day of Eating,149,President and Fellows of Harvard College,1000000,high,11/12/09,11,12,2009
Healthy Day of Eating,150,Team Pennsylvania Foundation,1000000,high,11/1/08,11,1,2009
Healthy Day of Eating,151,The Education Trust,1000000,high,1/21/10,1,21,2009
Healthy Day of Eating,152,Ohio Grantmakers Forum,1000000,high,7/18/09,7,18,2009
Healthy Day of Eating,153,University of Wisconsin,1000000,high,3/1/08,3,1,2009
Healthy Day of Eating,154,"Teach for America, Inc.",1000000,high,6/26/09,6,26,2009
Healthy Day of Eating,155,United Way Inc.,1000330,high,1/15/09,1,15,2009
Healthy Day of Eating,156,Public Education Network,1001363,high,7/10/09,7,10,2009
Healthy Day of Eating,157,Recovery School District,1004719,high,10/22/09,10,22,2009
Went for a Run,158,Center on Education Policy,1047928,high,9/8/09,9,8,2009
Went for a Run,159,College Success Foundation,1053150,high,11/1/08,11,1,2009
Went for a Run,160,Houston Independent School District,1100000,high,11/5/09,11,5,2009
Went for a Run,161,Ohio Department of Education,1175000,high,1/1/08,1,1,2009
Went for a Run,162,Seattle Foundation,1181375,high,3/1/08,3,1,2009
Went for a Run,163,Center for American Progress,1198248,high,7/1/08,7,1,2009
Went for a Run,164,EdVisions Inc,1200552,high,12/1/08,12,1,2009
Went for a Run,165,College for All Texans Foundation: Closing the Gaps,1221800,high,11/1/08,11,1,2009
Went for a Run,166,"Education Development Center, Inc.",1224953,high,11/18/09,11,18,2009
Went for a Run,167,Fund for Educational Excellence,1229730,high,5/1/08,5,1,2009
Went for a Run,168,University of Texas at Austin,1235787,high,11/18/09,11,18,2009
Went for a Run,169,"Rockefeller Philanthropy Advisors, Inc.",1279229,high,9/1/08,9,1,2009
Disney with the kids,170,Council of Chief State School Officers,2323233,high,10/12/09,10,12,2008
Date with Wife,171,College Summit Inc.,1300000,high,5/1/08,5,1,2008
Date with Wife,172,Dallas Independent School District,1332279,high,1/4/10,1,4,2008
Date with Wife,173,National Center for the Improvement of Educational Assessment Inc.,1362773,high,11/19/09,11,19,2008
Date with Wife,174,College Summit Inc,1383137,high,5/22/09,5,22,2008
Date with Wife,175,Charlotte-Mecklenburg Schools,1431534,high,9/3/09,9,3,2008
Date with Wife,176,"ACT, Inc.",1445269,high,9/14/09,9,14,2008
Date with Wife,177,Partnership for Learning,1493522,high,11/1/09,11,1,2008
Date with Wife,178,Tulsa Public Schools,1500000,high,2/4/10,2,4,2008
Date with Wife,179,League of Education Voters Foundation,1500000,high,10/29/09,10,29,2008
filler for 2018,180,National Center on Education & the Economy,1500000,high,10/19/09,10,19,2008
filler for 2019,181,Educational Testing Service,1521971,high,11/14/09,11,14,2008
filler for 2020,182,Pacific Institute For Community Organizations,1600000,high,9/1/08,9,1,2008
filler for 2021,183,The Urban Teacher Residency Institute,1635665,high,9/1/09,9,1,2008
filler for 2022,184,Advance Illinois,1800000,high,5/15/08,5,15,2008
filler for 2023,185,"Teach for America, Inc.",1840548,high,10/5/09,10,5,2008
filler for 2024,186,New Schools Fund dba NewSchools Venture Fund,1891265,high,5/1/08,5,1,2008
filler for 2025,187,University of Chicago - Urban Education Institute,1894228,high,3/1/08,3,1,2008
filler for 2026,188,"Rockefeller Philanthropy Advisors, Inc.",1915298,high,10/19/09,10,19,2008
filler for 2027,189,Board Of Control For Southern Regional Education,1987015,high,3/1/08,3,1,2008
filler for 2028,190,Memphis City Schools,1988654,high,11/3/09,11,3,2008
Movie with the Kids,191,Editorial Projects in Education,1997280,high,5/1/09,5,1,2008
Movie with the Kids,192,National Congress of Parents and Teachers,2000000,high,11/3/09,11,3,2008
Movie with the Kids,193,Deutsche Bank Americas Foundation,2000000,high,11/1/08,11,1,2008
Movie with the Kids,194,Project GRAD,2025892,high,9/1/08,9,1,2008
Movie with the Kids,195,The Trust For Early Education Inc,2039526,high,9/17/09,9,17,2008
Movie with the Kids,196,Communities Foundation of Texas,2046674,high,9/1/08,9,1,2008
Movie with the Kids,197,CELT Corporation,2200000,high,11/19/09,11,19,2008
Movie with the Kids,198,Americas Promise-The Alliance For Youth,2211517,high,3/19/08,3,19,2008
Movie with the Kids,199,"The James B. Hunt, Jr. Institute for Educational Leadership and Policy",2213470,high,5/1/08,5,1,2008
Movie with the Kids,200,The Bridgespan Group,2237530,high,4/20/09,4,20,2008
Movie with the Kids,201,Math Solutions,2274957,high,11/20/09,11,20,2008
Movie with the Kids,202,IB Fund US Inc.,2423679,high,8/22/09,8,22,2008
Dinner with Wife,203,National Governors Association Center For Best Practices,2496814,high,5/1/08,5,1,2008
Dinner with Wife,204,DC Public Education Fund,2500000,high,11/12/09,11,12,2008
Dinner with Wife,205,Prince George's County Public Schools,2500169,high,1/4/10,1,4,2008
Dinner with Wife,206,Hillsborough County Public Schools,2502146,high,10/20/09,10,20,2008
Dinner with Wife,207,National Council on Teacher Quality,2565641,high,10/21/09,10,21,2008
Out with friends,208,National Alliance For Public Charter Schools,2605527,medium,9/1/08,9,1,2008
Out with friends,209,Institute for a Competitive Workforce,2625837,medium,10/8/08,10,8,2008
Out with friends,210,"Alliance for Excellent Education, Inc.",2644892,medium,9/1/08,9,1,2008
Out with friends,211,Fund for Public Schools Inc.,2646876,medium,8/28/09,8,28,2008
Weekend House with Family,212,Aspire Public Schools,2899727,high,9/1/08,9,1,2008
Weekend House with Family,213,Communities Foundation of Texas,2901632,high,11/1/08,11,1,2008
Weekend House with Family,214,National Association Of Charter School Authorizers,2979186,high,10/1/08,10,1,2008
Weekend House with Family,215,Regents Of The University Of California At Berkeley,2999730,high,11/20/09,11,20,2008
Weekend House with Family,216,New York University,2999960,high,10/1/08,10,1,2008
Weekend House with Family,217,University of Chicago (Parent Org),3000000,high,5/1/08,5,1,2008
Weekend House with Family,218,"Third Sector New England, Inc.",3179363,high,9/1/08,9,1,2008
Weekend House with Family,219,New Venture Fund,3240000,high,11/4/09,11,4,2008
Weekend House with Family,220,The Big Picture Company,3315216,high,7/15/09,7,15,2008
Weekend House with Family,221,"Rockefeller Philanthropy Advisors, Inc.",3487270,high,9/25/09,9,25,2008
Weekend House with Family,222,Idea Academy Inc,3498875,high,11/1/08,11,1,2008
Weekend House with Family,223,College Summit Inc,3500000,high,5/1/08,5,1,2008
Weekend House with Family,224,Regents Of The University Of California At Berkeley,3661294,high,9/25/09,9,25,2008
Weekend House with Family,225,Council Of The Great City Schools,3735866,high,10/1/08,10,1,2008
Weekend House with Family,226,Dallas Independent School District,3774912,high,12/1/08,12,1,2008
Stayed at work late,227,The Aspen Institute,3878680,medium,11/18/09,11,18,2008
Stayed at work late,228,New Schools Fund dba NewSchools Venture Fund,3999127,medium,5/1/08,5,1,2008
Stayed at work late,229,New Schools Fund dba NewSchools Venture Fund,4000000,medium,7/1/08,7,1,2008
Stayed at work late,230,"Newark Charter School Fund, Inc.",4000000,medium,2/15/08,2,15,2008
Stayed at work late,231,"SeaChange Capital Partners, Inc.",4000000,medium,12/1/08,12,1,2008
Stayed at work late,232,United Way of America,4001263,medium,1/1/09,1,1,2008
Stayed at work late,233,"Teach Plus, Incorporated",4010611,medium,9/30/09,9,30,2008
Stayed at work late,234,The Big Picture Company,4079157,medium,7/1/08,7,1,2008
Stayed at work late,235,DonorsChoose.org,4114700,medium,11/1/08,11,1,2008
Stayed at work late,236,Regents University Of California Los Angeles,4342988,medium,11/12/09,11,12,2008
Stayed at work late,237,"James B. Hunt, Jr. Institute for Educational Leadership and Policy Foundation, Inc.",4368176,medium,11/5/09,11,5,2008
Stayed at work late,238,Battelle For Kids,4989262,medium,10/1/08,10,1,2008
Stayed at work late,239,"GreatSchools, Inc.",6000000,medium,7/1/08,7,1,2008
Date with Wife,240,The University of the State of New York,6000000,high,7/29/09,7,29,2008
Date with Wife,241,National Student Clearinghouse Research Center,6094497,high,11/20/09,11,20,2008
Date with Wife,242,Alliance for Education,6929430,high,11/10/08,11,10,2008
Date with Wife,243,"The New Teacher Project, Inc.",7000000,high,7/10/09,7,10,2008
Date with Wife,244,Educational Testing Service,7348925,high,11/1/08,11,1,2008
Date with Wife,245,Asia Society,7750417,high,11/1/08,11,1,2008
Date with Wife,246,Council of Chief State School Officers,7770104,high,7/1/09,7,1,2008
Date with Wife,247,"Rockefeller Philanthropy Advisors, Inc.",9958245,high,3/1/08,3,1,2008
Date with Wife,248,Denver Public Schools,7770104,high,1/4/10,1,4,2008
Out with Friends,249,Atlanta Public Schools,1915298,high,1/13/10,1,13,2008
Out with Friends,250,Achieve Inc.,1987015,high,2/1/08,2,1,2008
Out with Friends,251,President and Fellows of Harvard College,1988654,high,6/17/09,6,17,2008
Out with Friends,252,Pittsburgh Public Schools,1997280,high,11/18/09,11,18,2008
Out with Friends,253,The College-Ready Promise,2000000,high,11/19/09,11,19,2008
Out with Friends,254,Memphis City Schools,2000000,high,11/19/09,11,19,2008
Disney with the Family,255,Hillsborough County Public Schools,100000000,high,11/19/09,11,19,2008
